scenario,cost_att1,cost_att3
503,139095.59619746663,139095.59619746663
504,136819.92905762323,136700.48043599998
505,139468.48709372303,139136.81342426472
506,139468.48709372303,139468.48709372303
507,139468.48709372303,115882.58863029118
508,139503.92360356505,139503.92360356505
509,141894.5148239113,141894.5148239113
510,140196.12753883208,140196.12753883208
511,141894.5148239113,141894.5148239113
512,141792.8627766025,141792.8627766025
513,115028.30808944559,115028.30808944559
514,139251.7522215903,139251.7522215903
515,141866.35161431407,141866.35161431407
516,187965.97251,187165.92070999998
517,138095.02163004797,138095.02163004797
518,138010.9908351156,138010.9908351156
519,138010.9908351156,138010.9908351156
520,183469.85542,121112.69427602057
521,136099.0153135049,135953.3677338991
522,133940.5535202871,133940.5535202871
523,133978.29584692686,133978.29584692686
524,108149.05772622774,108149.05772622774
525,187965.97251,187945.52153199998
526,134108.87047800518,134108.87047800518
527,142574.29758625655,142574.29758625655
528,142574.29758625655,142574.29758625655
529,176114.80209700004,176114.80209700004
530,143390.65216496147,132628.78682974738
531,142679.02500838888,142679.02500838888
532,147519.89811965905,147519.89811965905
533,146004.14944577738,146004.14944577738
534,147400.33073517538,146597.87533377204
535,147206.5688009266,147162.33582869923
536,148721.68723805767,148721.68723805767
537,147368.5293318913,147368.5293318913
538,148844.10065750542,135396.68326137878
539,148721.68723805767,148721.68723805767
540,143645.5001177473,143645.5001177473
541,144016.84949040346,144016.84949040346
542,172160.129711,172160.129711
543,144219.79877563578,144219.79877563578
544,144915.49370580257,144915.49370580257
545,144915.49370580257,134578.84183423035
546,144915.49370580257,144430.15398729756
547,142412.06035506242,134764.654232515
548,187965.97251,128282.97930904209
549,141978.16663934552,141978.16663934552
550,142080.5652351131,142080.5652351131
551,141978.16663934552,141978.16663934552
552,135733.91462030815,135733.91462030815
553,135733.91462030815,135733.91462030815
554,136400.43407880297,136400.43407880297
555,135733.91462030815,135733.91462030815
556,187965.97251,135847.9372687003
557,187579.24235699998,132529.62181298653
558,131741.40176043462,131741.40176043462
559,130397.76784182049,130397.76784182049
560,187965.97251,132529.62181298653
561,130044.60106895893,130044.60106895893
562,133219.15414281006,133219.15414281006
563,133219.15414281006,130140.24901374688
564,132053.25509614238,132053.25509614238
565,132053.25509614238,131427.8422672038
566,114415.16400329008,114415.16400329008
567,187721.716316,131105.73280251664
568,126128.8573811169,126128.8573811169
569,129079.85887254575,129079.85887254575
570,131375.7791581956,131083.73372949997
571,128580.17061345735,128580.17061345735
572,131601.75737482702,131601.75737482702
573,129521.52908908381,128532.03006890934
574,109842.55519167038,109842.55519167038
575,132784.28111454463,132196.187522
576,128504.84847317394,128504.84847317394
577,130636.40703523428,130636.40703523428
578,131854.94491798637,130672.44438008023
579,187965.97251,130636.40703523428
580,132499.53470206013,132499.53470206013
581,132449.96530213303,132449.96530213303
582,132499.53470206013,132499.53470206013
583,130367.00233133932,130367.00233133932
584,137590.00985312002,137590.00985312002
585,139455.95159375816,139455.95159375816
586,137775.00347925897,137775.00347925897
587,137590.00985312002,137590.00985312002
588,139455.95159375816,139455.95159375816
589,143654.33700631472,143654.33700631472
