scenario,time_att1,time_att3
595,1.3224523067474365,5.218183279037476
596,1.4258098602294922,4.601351976394653
597,1.2275776863098145,5.124873876571655
598,1.5291321277618408,5.526287078857422
599,1.2229280471801758,5.219738006591797
600,1.3446810245513916,4.914287805557251
601,1.325423002243042,5.4240899085998535
602,1.3269848823547363,5.324709892272949
603,1.6350278854370117,5.5281147956848145
604,2.5519070625305176,6.424359321594238
605,1.245527982711792,5.55148983001709
606,1.5297811031341553,5.421624183654785
607,1.5297250747680664,5.1301350593566895
608,2.0347180366516113,5.515722036361694
609,1.2252721786499023,4.970300912857056
610,1.271177053451538,4.9611289501190186
611,1.2961039543151855,4.407423973083496
612,1.3180387020111084,4.909496784210205
613,1.166712760925293,5.420226097106934
614,1.6289820671081543,4.499895095825195
615,1.1849839687347412,4.627397060394287
616,1.611063003540039,5.546867847442627
617,1.27541184425354,4.396261930465698
618,1.3591699600219727,4.789146661758423
619,1.5170869827270508,5.312187194824219
620,1.118009090423584,5.216313123703003
621,1.2262401580810547,4.24102520942688
622,1.5893220901489258,5.893933057785034
623,1.5294909477233887,4.807054758071899
624,1.1276202201843262,3.9920380115509033
625,1.5345699787139893,4.711874008178711
626,1.941127061843872,5.320484161376953
627,1.4333381652832031,4.9188501834869385
628,1.424238920211792,4.909373998641968
629,1.73512601852417,5.015851974487305
630,1.327519178390503,6.139976978302002
631,1.5330548286437988,4.811915874481201
632,1.83906888961792,6.421314001083374
633,1.6786770820617676,5.0498740673065186
634,1.5233681201934814,4.7014830112457275
635,1.9403667449951172,6.5580737590789795
636,1.316946268081665,4.805964946746826
637,1.5329742431640625,5.016855001449585
638,2.0468616485595703,5.2266669273376465
639,1.7326619625091553,5.01756477355957
640,1.627816915512085,5.667845964431763
641,1.3871939182281494,5.383970737457275
642,1.2265510559082031,5.424689054489136
643,1.6364407539367676,4.606799840927124
644,1.4316349029541016,4.352669954299927
645,1.3776500225067139,4.863487005233765
646,1.5311548709869385,5.6304450035095215
647,1.5281081199645996,5.559852123260498
648,1.346186876296997,5.181957006454468
649,1.3096139430999756,4.332705020904541
650,1.365204095840454,5.703887939453125
651,1.4322919845581055,4.590156078338623
652,1.5321769714355469,5.3372862339019775
653,1.7346601486206055,5.218768119812012
654,1.9367122650146484,4.9114930629730225
655,1.4859931468963623,4.914703130722046
656,1.5274970531463623,5.115931987762451
657,1.4393939971923828,5.425112962722778
658,1.6321818828582764,5.115746021270752
659,1.6357159614562988,4.913266897201538
660,2.573582887649536,7.066821813583374
661,1.4286367893218994,4.274065732955933
662,1.172260046005249,4.52750825881958
663,1.3235671520233154,4.3005712032318115
664,1.172076940536499,4.502493858337402
665,1.5317440032958984,5.324642896652222
666,1.5288958549499512,5.733393907546997
667,1.3258931636810303,4.710021257400513
668,2.0410659313201904,5.936017036437988
669,1.4270751476287842,5.014533996582031
670,1.4277229309082031,4.9148218631744385
671,1.3248939514160156,5.117344856262207
672,1.5306522846221924,4.401451110839844
673,1.427109718322754,5.480695724487305
674,1.4754209518432617,5.161005973815918
675,2.2341628074645996,6.248807907104492
676,1.5799341201782227,4.811462163925171
677,1.5288300514221191,5.628242015838623
678,1.6343281269073486,5.441659927368164
679,1.9267709255218506,5.10316801071167
680,1.9403722286224365,5.016203880310059
681,1.8369839191436768,5.524695873260498
682,1.7383790016174316,5.937329053878784
683,1.536350965499878,5.532505989074707
684,1.2224969863891602,5.356029748916626
685,1.8069407939910889,6.719481706619263
686,1.4285383224487305,6.654543161392212
687,1.836942195892334,6.570003271102905
688,1.3367137908935547,5.712346792221069
689,1.5305469036102295,6.554322957992554
690,1.4450228214263916,5.0132927894592285
691,1.7321152687072754,5.115695238113403
692,1.5296070575714111,4.5916290283203125
693,1.3385491371154785,4.927155256271362
694,1.6324739456176758,5.324893951416016
695,1.6600980758666992,5.630332946777344
696,2.138293981552124,5.590461015701294
697,4.637917757034302,8.346511840820312
698,1.819612741470337,5.816495656967163
699,2.350064992904663,5.835604906082153
700,1.4278881549835205,4.715341091156006
701,1.419367790222168,5.010599851608276
702,1.425861120223999,4.910176038742065
703,1.6340181827545166,4.509277105331421
704,1.3219621181488037,4.2949440479278564
705,1.530014991760254,4.810557842254639
706,1.9400599002838135,5.530351877212524
707,2.340989828109741,6.339294910430908
708,1.2262639999389648,5.017461061477661
709,1.5314130783081055,6.548823833465576
710,1.4346342086791992,5.328318119049072
711,1.9891648292541504,5.625072002410889
712,1.739419937133789,6.0441789627075195
713,1.6544408798217773,4.91431188583374
714,1.477417230606079,5.425421237945557
715,2.0442440509796143,5.351649045944214
716,1.3964691162109375,4.370696306228638
717,1.5294950008392334,4.708850860595703
718,1.2234046459197998,4.299116849899292
719,1.6327810287475586,5.014801979064941
720,2.04233980178833,6.550131797790527
721,1.3281149864196777,5.220388174057007
722,1.6347451210021973,5.2223920822143555
723,1.8373589515686035,5.524719953536987
724,1.5340721607208252,5.161545276641846
725,1.4956910610198975,5.748633146286011
726,1.5771081447601318,5.367055892944336
727,1.4649908542633057,5.318972110748291
728,1.4356091022491455,5.33168625831604
729,1.4223370552062988,4.395493984222412
730,1.410649061203003,5.633050203323364
731,1.4242000579833984,4.808974266052246
732,1.3280882835388184,5.526928186416626
733,1.5313360691070557,4.709774017333984
734,1.4262638092041016,5.042731761932373
735,1.5030803680419922,5.366918325424194
736,1.7773141860961914,5.102132081985474
737,1.4744689464569092,5.003062009811401
